sci_name
Apodemus flavicollis
Apodemus sylvaticus
Arvicola amphibius
Castor fiber
Cervus elaphus
Cervus nippon
Crocidura russula
Equus caballus ferus
Erinaceus europaeus
Glis glis
Lepus europaeus
Lepus timidus
Lissotriton vulgaris
Lutra lutra
Martes martes
Meles meles
Microtus agrestis
Microtus arvalis
Mus musculus
Mustela spp.
Myocastor coypus
Myodes glareolus
Ovis aries
Rattus norvegicus
Sciurus carolinensis
Sciurus vulgaris
Sorex minutus
Talpa europaea
Vulpes vulpes
